Inference for Bugs model at "curtis_ghosh_example.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
beta[11]    0.081   0.151 -0.204  0.000  0.070  0.193  0.354 1.348    12
beta[12]    0.103   0.247 -0.201  0.000  0.058  0.121  1.025 1.362    18
beta[13]   -0.099   0.132 -0.396 -0.195  0.000  0.000  0.057 1.493     9
beta[14]   -0.040   0.152 -0.398 -0.110  0.000  0.047  0.145 1.450    10
gamma[1]    0.571   0.495  0.000  0.000  1.000  1.000  1.000 1.116    26
gamma[2]    0.596   0.491  0.000  0.000  1.000  1.000  1.000 1.027    98
gamma[3]    0.928   0.258  0.000  1.000  1.000  1.000  1.000 1.158    48
gamma[4]    0.881   0.324  0.000  1.000  1.000  1.000  1.000 1.202    27
gamma[5]    0.671   0.470  0.000  0.000  1.000  1.000  1.000 1.335    12
gamma[6]    0.686   0.464  0.000  0.000  1.000  1.000  1.000 1.158    22
gamma[7]    0.181   0.385  0.000  0.000  0.000  0.000  1.000 1.264    18
gamma[8]    0.945   0.228  0.000  1.000  1.000  1.000  1.000 1.272    32
gamma[9]    0.706   0.455  0.000  0.000  1.000  1.000  1.000 1.129    26
gamma[10]   0.520   0.500  0.000  0.000  1.000  1.000  1.000 1.017   150
gamma[11]   0.672   0.469  0.000  0.000  1.000  1.000  1.000 1.281    14
gamma[12]   0.641   0.480  0.000  0.000  1.000  1.000  1.000 1.131    25
gamma[13]   0.545   0.498  0.000  0.000  1.000  1.000  1.000 1.374    11
gamma[14]   0.569   0.495  0.000  0.000  1.000  1.000  1.000 1.065    43
theta[1]    0.160   0.321 -0.483  0.087  0.145  0.240  0.803 1.101   250
theta[2]    0.165   0.464 -0.252  0.088  0.154  0.236  0.719 1.248   320
theta[3]    0.322   0.369 -0.085  0.140  0.250  0.453  0.965 1.296    21
theta[4]    0.399   0.293 -0.026  0.210  0.359  0.575  1.072 1.320    15
theta[5]    0.150   0.479 -0.343  0.088  0.143  0.231  0.631 1.196   220
theta[6]    0.046   0.313 -0.531 -0.140  0.100  0.212  0.495 1.174    19
theta[7]    0.130   0.474 -0.313  0.045  0.125  0.225  0.689 1.245   120
theta[8]    0.127   0.267 -0.129  0.099  0.133  0.190  0.268 1.306    61
theta[9]    0.153   0.654 -0.210  0.095  0.142  0.221  0.563 1.134   500
theta[10]   0.017   0.339 -0.461 -0.142  0.081  0.124  0.670 1.126    34
theta[11]   0.122   0.511 -0.579  0.026  0.140  0.233  0.780 1.214   140
theta[12]   0.134   0.317 -0.332 -0.005  0.106  0.186  1.053 1.325    14
theta[13]  -0.023   0.353 -0.510 -0.217 -0.061  0.112  0.764 1.151    23
theta[14]   0.034   0.475 -0.468 -0.177  0.082  0.125  0.829 1.158    30
xi[1]       0.020   0.976 -1.502 -0.257  0.040  0.297  1.592 1.036  3200
xi[2]       0.073   0.914 -1.336 -0.129  0.156  0.242  1.207 1.111   370
xi[3]       0.029   0.873 -1.171 -0.220  0.075  0.257  1.262 1.070  1000
xi[4]       0.117   0.882 -1.168 -0.178  0.098  0.524  1.057 1.119    56
xi[5]      -0.007   0.900 -1.547 -0.303 -0.003  0.309  1.478 1.033  2800
xi[6]       0.034   0.876 -1.469 -0.241  0.069  0.337  1.516 1.031  1600
xi[7]       0.063   1.024 -1.309 -0.200  0.088  0.329  1.359 1.073  1000
xi[8]       0.005   1.018 -1.508 -0.289  0.001  0.294  1.610 1.036  4000
xi[9]      -0.010   1.078 -1.604 -0.307 -0.003  0.304  1.491 1.065  2100
xi[10]      0.039   1.076 -1.473 -0.280  0.017  0.342  1.628 1.052  2400
xi[11]      0.003   0.984 -1.536 -0.307 -0.003  0.304  1.474 1.046  3900
xi[12]      0.010   0.961 -1.387 -0.301  0.009  0.304  1.540 1.036  4000
xi[13]      0.045   1.020 -1.429 -0.277  0.051  0.394  1.548 1.072   510
xi[14]      0.012   1.024 -1.485 -0.271  0.041  0.348  1.431 1.066  1000
xi[15]      0.110   0.767 -1.240 -0.187  0.171  0.397  1.335 1.092   120
xi[16]      0.005   1.056 -1.510 -0.303  0.023  0.324  1.528 1.073  4000
xi[17]      0.030   1.014 -1.464 -0.274 -0.011  0.320  1.562 1.048  1400
xi[18]      0.061   0.943 -1.340 -0.279  0.030  0.381  1.432 1.075   280
xi[19]     -0.008   0.855 -1.559 -0.310 -0.007  0.315  1.427 1.026  2800
xi[20]      0.035   0.968 -1.305 -0.270  0.012  0.293  1.542 1.065  4000
xi[21]      0.003   0.964 -1.480 -0.303  0.008  0.313  1.590 1.046  1300
xi[22]      0.016   0.899 -1.488 -0.294  0.006  0.319  1.542 1.030  4000
xi[23]      0.023   0.989 -1.490 -0.291  0.007  0.305  1.482 1.049  4000
xi[24]     -0.024   0.917 -1.364 -0.305 -0.046  0.241  1.344 1.075  2100
xi[25]      0.041   0.949 -1.396 -0.232  0.087  0.280  1.564 1.038  1400
xi[26]      0.000   0.968 -1.546 -0.292 -0.015  0.289  1.462 1.062  4000
xi[27]      0.017   0.743 -1.401 -0.258  0.048  0.276  1.405 1.066  4000
xi[28]     -0.012   1.012 -1.672 -0.312  0.000  0.298  1.570 1.034  2300
xi[29]      0.002   1.047 -1.473 -0.321 -0.012  0.303  1.602 1.060  4000
xi[30]      0.032   0.949 -1.353 -0.276  0.028  0.341  1.412 1.046  4000
xi[31]      0.013   1.017 -1.582 -0.303  0.012  0.304  1.588 1.051  4000
xi[32]      0.007   0.957 -1.480 -0.307 -0.003  0.312  1.612 1.041  4000
xi[33]      0.017   1.032 -1.562 -0.298  0.003  0.313  1.642 1.046  4000
xi[34]     -0.018   0.981 -1.489 -0.317 -0.006  0.293  1.413 1.051  4000
xi[35]     -0.003   0.986 -1.537 -0.292 -0.025  0.291  1.555 1.058  4000
xi[36]     -0.004   0.975 -1.534 -0.307 -0.009  0.296  1.466 1.049  4000
xi[37]     -0.027   1.025 -1.431 -0.299 -0.012  0.286  1.432 1.040  4000
xi[38]     -0.004   0.942 -1.359 -0.323 -0.034  0.280  1.563 1.044  2100
xi[39]     -0.026   0.997 -1.465 -0.287 -0.064  0.258  1.539 1.069  1600
deviance    8.581   5.084 -1.320  5.754  8.402 11.098 20.480 1.107    29

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 11.5 and DIC = 20.1
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       15.245  10.703  1.000 10.000 14.000 23.000 38.000 2.022     7
S[2]       18.642  11.011  1.000 10.000 15.000 29.000 38.000 1.918     7
S[3]       13.897  10.413  1.000  3.750 10.000 23.000 35.000 4.240     4
S[4]       17.643  11.604  1.000  4.000 24.000 29.000 33.000 5.630     4
S[5]       16.503  10.381  1.000 10.000 15.000 23.000 39.000 1.914     7
S[6]       16.820   9.754  1.000 10.000 15.000 24.000 35.000 1.685     9
S[7]       14.841  10.022  1.000  9.000 14.000 23.000 35.000 1.881     7
S[8]       14.275   9.647  1.000  3.000 15.000 19.000 38.000 4.490     4
S[9]       17.584   9.133  1.000 10.000 15.000 24.000 35.000 1.411    14
S[10]      17.760  10.472  1.000 10.000 17.000 26.000 37.000 1.662     9
S[11]      19.788   8.745  2.000 15.000 21.000 26.000 38.000 1.172    30
S[12]      21.102   8.692  1.000 10.000 24.000 25.000 39.000 1.581     9
S[13]      17.027   9.016  2.000 10.000 15.000 24.000 33.000 1.444    11
S[14]      15.838  10.093  1.000  7.000 15.000 25.000 33.000 2.784     5
beta[1]     0.179   0.340 -0.156  0.000  0.000  0.170  0.944 3.686     5
beta[2]     0.187   0.378 -0.357  0.000  0.000  0.408  1.048 1.759     7
beta[3]     0.268   0.393 -0.260  0.000  0.166  0.716  1.059 1.778     7
beta[4]     0.443   0.468  0.000  0.000  0.223  0.859  1.333 2.526     5
beta[5]    -0.024   0.112 -0.282  0.000  0.000  0.000  0.006 1.237    23
beta[6]    -0.014   0.082 -0.222  0.000  0.000  0.000  0.036 1.172    26
beta[7]    -0.003   0.017 -0.053  0.000  0.000  0.000  0.000 1.141   140
beta[8]     0.085   0.090  0.000  0.000  0.057  0.172  0.238 2.638     5
beta[9]    -0.013   0.057 -0.193  0.000  0.000  0.000  0.000 1.176    33
beta[10]   -0.014   0.087 -0.284  0.000  0.000  0.000  0.101 1.198    84
beta[11]    0.048   0.275 -0.430  0.000  0.000  0.000  0.845 1.598     9
beta[12]    0.286   0.420  0.000  0.000  0.000  0.510  1.224 3.044     5
beta[13]   -0.093   0.148 -0.450 -0.187  0.000  0.000  0.000 1.579     9
beta[14]   -0.063   0.155 -0.571  0.000  0.000  0.000  0.000 1.370    16
gamma[1]    0.338   0.473  0.000  0.000  0.000  1.000  1.000 1.990     6
gamma[2]    0.514   0.500  0.000  0.000  1.000  1.000  1.000 1.296    13
gamma[3]    0.636   0.481  0.000  0.000  1.000  1.000  1.000 1.825     7
gamma[4]    0.605   0.489  0.000  0.000  1.000  1.000  1.000 1.645     8
gamma[5]    0.172   0.377  0.000  0.000  0.000  0.000  1.000 1.355    14
gamma[6]    0.155   0.362  0.000  0.000  0.000  0.000  1.000 1.255    19
gamma[7]    0.054   0.227  0.000  0.000  0.000  0.000  1.000 1.106    89
gamma[8]    0.520   0.500  0.000  0.000  1.000  1.000  1.000 2.190     6
gamma[9]    0.116   0.320  0.000  0.000  0.000  0.000  1.000 1.239    24
gamma[10]   0.166   0.372  0.000  0.000  0.000  0.000  1.000 1.163    28
gamma[11]   0.386   0.487  0.000  0.000  0.000  1.000  1.000 1.263    14
gamma[12]   0.417   0.493  0.000  0.000  0.000  1.000  1.000 1.836     7
gamma[13]   0.360   0.480  0.000  0.000  0.000  1.000  1.000 1.666     8
gamma[14]   0.235   0.424  0.000  0.000  0.000  0.000  1.000 1.195    20
theta[1]    0.319   0.800 -1.373 -0.131  0.218  0.722  1.973 1.295    14
theta[2]    0.438   9.456 -2.190 -0.091  0.465  0.728  3.350 1.290  2400
theta[3]    0.342   0.640 -1.112  0.095  0.246  0.722  1.232 1.251    19
theta[4]    0.443   5.522 -1.160  0.210  0.698  0.952  1.528 1.294   390
theta[5]   -0.264  10.768 -2.621 -0.241  0.162  0.681  2.460 1.291   580
theta[6]    0.082  11.240 -2.079 -0.171  0.190  0.684  2.551 1.290  4000
theta[7]    0.174   1.439 -2.018 -0.169  0.193  0.719  1.828 1.195    72
theta[8]    0.207   4.127 -0.953  0.096  0.177  0.488  2.163 1.284  4000
theta[9]    0.143   2.344 -2.738 -0.224  0.189  0.715  3.001 1.184   430
theta[10]   0.297   3.874 -1.950 -0.091  0.385  0.723  2.308 1.280  2000
theta[11]   0.108   6.773 -2.648 -0.164  0.331  0.727  2.979 1.283  1400
theta[12]   0.641   2.085 -1.129  0.358  0.712  0.952  2.291 1.204   250
theta[13]  -0.118  13.496 -3.996 -0.288  0.029  0.719  1.851 1.289  2600
theta[14]   0.115   3.308 -1.806 -0.205  0.169  0.686  1.511 1.286   410
xi[1]      -1.900  14.157 -6.827 -2.433 -1.859 -0.722  2.808 1.290  1100
xi[2]      -1.712  11.939 -7.703 -2.463 -1.863 -1.129  5.139 1.282  4000
xi[3]      -1.439  12.178 -8.387 -2.221 -1.640 -0.333  3.802 1.285  2000
xi[4]      -1.869  13.839 -8.790 -2.358 -1.698 -1.076  4.427 1.284  4000
xi[5]      -2.050  14.144 -9.222 -2.240 -1.592 -0.985  3.464 1.287  1100
xi[6]      -1.579  12.714 -7.901 -2.088 -1.451 -0.777  4.307 1.282  4000
xi[7]      -1.082  13.421 -7.280 -1.883 -1.286 -0.518  5.703 1.285  4000
xi[8]      -1.139  14.483 -7.275 -1.931 -1.292 -0.633  5.569 1.285  4000
xi[9]      -0.588  12.526 -6.773 -1.769 -1.138 -0.495  6.478 1.288   500
xi[10]     -0.589   1.831 -3.617 -1.317 -0.749  0.716  1.666 1.329    18
xi[11]     -0.867  15.150 -6.781 -1.544 -0.924 -0.307  6.471 1.285  4000
xi[12]     -0.867  15.404 -6.691 -1.442 -0.840 -0.183  5.375 1.284  4000
xi[13]     -0.892  11.313 -7.465 -1.322 -0.717 -0.097  5.135 1.282  3600
xi[14]     -0.935  13.098 -8.312 -1.270 -0.612  0.061  4.600 1.283  2500
xi[15]     -0.634  12.466 -7.043 -0.979 -0.314 -0.005  5.171 1.282  4000
xi[16]     -0.146  13.235 -6.247 -1.045 -0.414  0.190  6.303 1.285  2500
xi[17]     -0.387  14.159 -7.620 -0.965 -0.317  0.262  5.825 1.282  4000
xi[18]      0.092  14.423 -6.694 -0.694 -0.185  0.330  6.219 1.287  1500
xi[19]     -0.320  12.517 -6.833 -0.715 -0.021  0.448  4.953 1.282  3300
xi[20]      0.335  12.393 -5.711 -0.604  0.006  0.652  6.717 1.283  2000
xi[21]      0.015  13.133 -6.513 -0.502  0.125  0.738  5.554 1.285  4000
xi[22]     -0.058  15.737 -5.890 -0.334  0.250  0.838  6.175 1.287  3200
xi[23]     -0.116  14.142 -6.870 -0.162  0.253  0.720  5.840 1.286  1000
xi[24]      0.722  11.729 -4.733 -0.093  0.465  1.019  6.767 1.286  2400
xi[25]      0.797  14.325 -6.200  0.028  0.703  1.168  6.971 1.284  4000
xi[26]      0.461  11.385 -5.922  0.035  0.573  1.171  6.122 1.283  4000
xi[27]      0.949  11.698 -5.611  0.117  0.738  1.361  6.629 1.283  3300
xi[28]      0.742  12.951 -5.647  0.218  0.838  1.510  6.899 1.284  4000
xi[29]      0.799  13.826 -5.360  0.385  0.833  1.492  6.645 1.285  4000
xi[30]      0.986  15.039 -5.496  0.428  1.047  1.661  7.589 1.284  4000
xi[31]      1.031  13.975 -4.672  0.498  1.137  1.721  7.421 1.284  4000
xi[32]      1.113  11.073 -5.379  0.664  1.231  1.839  7.239 1.282  4000
xi[33]      1.203  12.610 -4.853  0.727  1.332  1.954  7.128 1.283  4000
xi[34]      1.508  15.448 -4.638  0.770  1.449  2.070  7.904 1.285  4000
xi[35]      1.761  15.072 -4.494  0.875  1.560  2.182  8.610 1.284  4000
xi[36]      1.788  14.939 -5.187  0.998  1.656  2.281  7.843 1.286  4000
xi[37]      1.897  11.451 -4.573  1.145  1.761  2.394  8.581 1.281  4000
xi[38]      2.021   9.983 -4.359  1.293  1.901  2.572  8.163 1.281  4000
xi[39]      1.626  11.291 -5.348  1.352  1.998  2.619  7.601 1.281  1200
deviance   11.491   5.719  1.206  6.942 10.989 16.346 22.311 1.371    11

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 11.6 and DIC = 23.1
DIC is an estimate of expected predictive error (lower deviance is better).



Inference for Bugs model at "curtis_ghosh_ordered.jags", fit using jags,
 4 chains, each with 6000 iterations (first 1000 discarded), n.thin = 5
 n.sims = 4000 iterations saved
          mu.vect sd.vect   2.5%    25%    50%    75%  97.5%  Rhat n.eff
S[1]       21.004  12.614  1.000  7.000 24.000 35.000 37.000 2.001     6
S[2]       19.041  10.172  1.000 10.000 24.000 27.000 37.000 1.275    14
S[3]       22.480  13.610  4.000  7.000 25.000 35.000 37.000 1.832     7
S[4]       18.506  14.122  1.000  5.000 19.000 35.500 37.000 2.939     5
S[5]       16.329  10.889  1.000  6.000 19.000 23.000 37.000 1.105    33
S[6]       18.124  10.972  1.000  7.000 15.000 27.000 37.000 1.927     7
S[7]       17.558  13.288  1.000  5.000 15.000 34.000 37.000 1.111    30
S[8]       13.914   8.851  1.000  7.000 15.000 19.500 27.000 1.823     7
S[9]       17.013  12.288  1.000  5.000 16.000 22.000 37.000 1.214    17
S[10]      16.530  12.070  1.000  5.000 14.000 27.000 37.000 1.610     8
S[11]      17.358   8.900  1.000 12.000 16.000 25.000 35.000 1.326    14
S[12]      20.076  12.606  1.000  7.000 24.000 35.000 36.000 1.436    10
S[13]      10.655  12.131  1.000  1.000  5.000 17.000 37.000 2.071     6
S[14]      20.648   9.577  5.000 14.000 21.000 27.000 37.000 1.363    12
beta[1]     0.185   0.411 -0.450  0.000  0.000  0.462  1.194 2.982     5
beta[2]     0.377   0.633 -0.039  0.000  0.000  0.731  1.924 1.971     7
beta[3]     0.302   0.376  0.000  0.000  0.000  0.576  1.186 2.807     5
beta[4]     0.227   0.292  0.000  0.000  0.000  0.512  0.837 1.485     9
beta[5]    -0.015   0.287 -0.660  0.000  0.000  0.000  0.561 1.427    11
beta[6]    -0.105   0.547 -2.332  0.000  0.000  0.000  0.544 1.474    15
beta[7]    -0.002   0.016 -0.051  0.000  0.000  0.000  0.000 1.082   120
beta[8]     0.126   0.085  0.000  0.072  0.134  0.180  0.296 1.542     9
beta[9]     0.045   0.279 -0.574  0.000  0.000  0.000  0.612 2.180     6
beta[10]    0.003   0.053 -0.076  0.000  0.000  0.000  0.127 1.116    77
beta[11]    0.106   0.241 -0.297  0.000  0.000  0.127  0.593 1.523    10
beta[12]    0.217   0.369  0.000  0.000  0.000  0.411  1.189 3.625     5
beta[13]   -0.153   0.198 -0.549 -0.347  0.000  0.000  0.000 1.928     7
beta[14]   -0.135   0.236 -0.690 -0.322  0.000  0.000  0.052 1.850     7
gamma[1]    0.440   0.497  0.000  0.000  0.000  1.000  1.000 1.687     7
gamma[2]    0.449   0.497  0.000  0.000  0.000  1.000  1.000 1.469     9
gamma[3]    0.506   0.500  0.000  0.000  1.000  1.000  1.000 2.697     5
gamma[4]    0.413   0.492  0.000  0.000  0.000  1.000  1.000 1.783     7
gamma[5]    0.307   0.461  0.000  0.000  0.000  1.000  1.000 1.255    15
gamma[6]    0.276   0.447  0.000  0.000  0.000  1.000  1.000 1.139    25
gamma[7]    0.053   0.225  0.000  0.000  0.000  0.000  1.000 1.072   140
gamma[8]    0.791   0.407  0.000  1.000  1.000  1.000  1.000 1.347    13
gamma[9]    0.348   0.476  0.000  0.000  0.000  1.000  1.000 1.547     9
gamma[10]   0.115   0.319  0.000  0.000  0.000  0.000  1.000 1.095    58
gamma[11]   0.423   0.494  0.000  0.000  0.000  1.000  1.000 1.114    27
gamma[12]   0.397   0.489  0.000  0.000  0.000  1.000  1.000 2.023     6
gamma[13]   0.446   0.497  0.000  0.000  0.000  1.000  1.000 2.110     6
gamma[14]   0.324   0.468  0.000  0.000  0.000  1.000  1.000 1.581     9
theta[1]    0.166   0.922 -2.287 -0.155  0.200  0.602  1.326 1.231    16
theta[2]    0.234   1.247 -2.764 -0.197  0.173  0.961  2.117 1.251    15
theta[3]    0.339   0.847 -1.844  0.103  0.524  0.640  1.394 1.168    23
theta[4]    0.203   0.859 -1.759 -0.351  0.470  0.575  1.410 1.201    19
theta[5]   -0.181   1.267 -3.041 -0.531 -0.052  0.533  1.410 1.097    89
theta[6]   -0.124   1.036 -2.757 -0.362  0.112  0.533  1.036 1.097    52
theta[7]   -0.069   1.206 -2.900 -0.438  0.051  0.556  1.680 1.067   140
theta[8]    0.002   0.605 -1.848  0.085  0.138  0.186  0.351 1.131    35
theta[9]   -0.129   1.012 -2.855 -0.435  0.026  0.524  1.151 1.079    42
theta[10]  -0.139   1.090 -2.984 -0.382  0.091  0.395  1.313 1.132    29
theta[11]   0.168   0.861 -1.944 -0.154  0.130  0.565  1.631 1.084    59
theta[12]   0.066   1.367 -3.164 -0.191  0.246  0.742  2.033 1.233    17
theta[13]  -0.371   1.126 -3.200 -0.489 -0.294  0.165  1.022 1.080   130
theta[14]   0.126   1.011 -1.844 -0.420  0.126  0.570  2.079 1.059    88
xi[1]      -1.559   1.655 -4.863 -2.442 -1.498 -0.429  0.931 1.147    23
xi[2]      -1.870   1.650 -5.176 -2.672 -1.883 -1.046  1.245 1.019  2800
xi[3]      -1.757   1.703 -5.025 -2.549 -1.773 -0.992  1.599 1.011  1700
xi[4]      -1.631   1.665 -4.891 -2.426 -1.622 -0.815  1.451 1.013   580
xi[5]      -1.419   1.598 -4.835 -2.202 -1.370 -0.440  1.541 1.035    92
xi[6]      -1.478   1.670 -4.669 -2.218 -1.478 -0.672  1.834 1.014  4000
xi[7]      -1.100   1.632 -4.430 -1.942 -1.039 -0.059  1.684 1.026   130
xi[8]      -1.096   1.636 -4.299 -1.926 -1.074  0.014  1.595 1.038    74
xi[9]      -1.136   1.655 -4.237 -1.947 -1.158 -0.382  2.195 1.010  4000
xi[10]     -1.063   1.752 -4.335 -1.825 -1.064 -0.278  2.271 1.012  2300
xi[11]     -0.931   1.745 -4.093 -1.711 -0.951 -0.121  2.394 1.011  4000
xi[12]     -0.849   1.748 -4.162 -1.653 -0.838 -0.064  2.357 1.019  4000
xi[13]     -0.757   1.647 -3.990 -1.484 -0.745  0.020  2.398 1.007  4000
xi[14]     -0.397   1.472 -3.507 -1.120 -0.250  0.556  2.065 1.043    76
xi[15]     -0.482   1.562 -3.503 -1.268 -0.279  0.260  2.239 1.078    64
xi[16]     -0.363   1.614 -3.597 -1.112 -0.240  0.268  2.873 1.017  2400
xi[17]     -0.308   1.686 -3.571 -1.080 -0.327  0.467  3.196 1.009  4000
xi[18]     -0.186   1.682 -3.153 -0.962 -0.207  0.571  3.080 1.012  3700
xi[19]     -0.142   1.760 -3.437 -0.834 -0.176  0.638  3.074 1.019   960
xi[20]      0.024   1.618 -3.319 -0.719  0.070  0.692  3.174 1.004  4000
xi[21]     -0.007   1.658 -3.089 -0.642 -0.086  0.739  3.204 1.027   400
xi[22]      0.188   1.687 -3.313 -0.572  0.203  0.968  3.448 1.005  4000
xi[23]      0.292   1.741 -2.992 -0.481  0.273  1.041  3.694 1.014  3400
xi[24]      0.429   1.654 -2.788 -0.298  0.419  1.162  3.717 1.015  4000
xi[25]      0.559   1.638 -2.751 -0.124  0.591  1.281  3.771 1.024   950
xi[26]      0.665   1.654 -2.696 -0.102  0.687  1.469  3.778 1.018   990
xi[27]      0.689   1.555 -2.214  0.099  0.536  1.401  3.661 1.102    77
xi[28]      0.848   1.698 -2.475  0.095  0.859  1.635  4.129 1.009  4000
xi[29]      0.982   1.717 -2.157  0.177  0.939  1.741  4.488 1.011  4000
xi[30]      1.046   1.628 -2.055  0.290  1.032  1.795  4.224 1.008  1500
xi[31]      1.171   1.595 -1.989  0.449  1.107  1.943  4.452 1.017  1700
xi[32]      1.257   1.718 -2.291  0.473  1.252  2.039  4.641 1.014  4000
xi[33]      1.328   1.627 -2.041  0.539  1.341  2.093  4.547 1.006  4000
xi[34]      1.431   1.730 -1.927  0.649  1.463  2.234  4.741 1.010  4000
xi[35]      1.430   1.614 -1.542  0.700  1.253  2.124  4.646 1.068    88
xi[36]      1.623   1.654 -1.498  0.739  1.625  2.412  4.816 1.011  3400
xi[37]      1.447   1.549 -1.112  0.527  1.291  2.248  4.751 1.140    27
xi[38]      1.876   1.762 -1.496  1.073  1.892  2.676  5.266 1.016  2000
xi[39]      1.972   1.658 -1.180  1.201  1.963  2.739  5.036 1.013  4000
deviance   12.570   9.859 -3.430  7.075 10.937 17.342 41.720 1.378    12

For each parameter, n.eff is a crude measure of effective sample size,
